"ENTITY_CD","ENTITY_NAME","YEAR","PK12 Enrollment","SWD Enrollment","Special Education Expenditures","Special Education Expenditures/Pupil","Total Expenditures","General Education Expenditures","General Education Expenditures/Pupil"
"021102040000","CANASERAGA CSD","2022-23",200,30,572269.72,19075.6573333333,6241437.18,5669167.46,28345.8373
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2023-24",210,38,536214.45,14110.9065789474,7299274.57,6763060.12,32205.0481904762
"021102040000","CANASERAGA CSD","2024-25",203,46,421827.1,9170.15434782609,7288168,6866340.9,33824.339408867
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2018-19",314,58,3604482,62146.2413793103,2615142,-989340,-3150.76433121019
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2019-20",319,63,3675488,58341.0793650794,9298994,5623506,17628.5454545455
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2020-21",282,42,3859489,91892.5952380952,9308263,5448774,19321.8936170213
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2021-22",276,36,4476323,124342.305555556,10952140,6475817,23463.1050724638
"021601040000","FRIENDSHIP CSD","2022-23",275,45,1747023,38822.7333333333,7402953,5655930,20567.0181818182
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2023-24",265,52,1819822,34996.5769230769,10877746,9057924,34180.8452830189
"021601040000","FRIENDSHIP CSD","2024-25",259,50,2213458,44269.16,8795722,6582264,25414.1467181467
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2018-19",682,79,2119257.03,26826.0383544304,11334864.02,9215606.99,13512.6202199413
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2019-20",703,103,2229378.27,21644.449223301,11430214.07,9200835.8,13087.959886202
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2020-21",652,90,2127574.95,23639.7216666667,11543981.91,9416406.96,14442.3419631902
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2021-22",658,85,2304731,27114.4823529412,12222267,9917536,15072.2431610942
"022001040000","FILLMORE CSD","2022-23",650,89,2259706.29,25389.9583146067,13175204.07,10915497.78,16793.0735076923
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2023-24",607,106,2003105.46,18897.2213207547,16276055.87,14272950.41,23513.9215980231
"022001040000","FILLMORE CSD","2024-25",597,107,2283726.51,21343.238411215,16756235.13,14472508.62,24242.0579899497
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2018-19",196,20,444508.17,22225.4085,4806931.23,4362423.06,22257.2605102041
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2019-20",187,24,323326.81,13471.9504166667,4812519.1,4489192.29,24006.3758823529
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2020-21",167,20,431315,21565.75,4217134,3785819,22669.5748502994
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2021-22",160,16,366834,22927.125,5076971,4710137,29438.35625
"022101040000","WHITESVILLE CSD","2022-23",145,12,111343,9278.58333333333,5422687,5311344,36629.9586206897
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2023-24",129,19,411480,21656.8421052632,5272229,4860749,37680.2248062015
"022101040000","WHITESVILLE CSD","2024-25",112,15,626290.74,41752.716,5196444.81,4570154.07,40804.9470535714
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2018-19",817,149,2363775.93,15864.2679865772,17113371.4,14749595.47,18053.3604283966
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2019-20",819,164,2358738.61,14382.5525,16294033.37,13935294.76,17015.0119169719
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2020-21",775,153,2342053.23,15307.5374509804,16405486.19,14063432.96,18146.3651096774
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2021-22",781,143,1482751,10368.8881118881,18880085,17397334,22275.7157490397
"022302040000","CUBA-RUSHFORD CSD","2022-23",739,143,1581041.97,11056.2375524476,19532255.13,17951213.16,24291.2221380244
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2023-24",720,151,1862517.13,12334.5505298013,23456365.49,21593848.36,29991.4560555556
"022302040000","CUBA-RUSHFORD CSD","2024-25",719,151,2223735.33,14726.7240397351,24814587.58,22590852.25,31419.8223226704
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2018-19",334,44,1146851,26064.7954545455,8280781,7133930,21359.0718562874
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2019-20",321,55,297824,5414.98181818182,8215877,7918053,24666.8317757009
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2020-21",300,64,346100,5407.8125,8228724,7882624,26275.4133333333
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2021-22",259,49,226992,4632.48979591837,8945447,8718455,33661.9884169884
"022401040000","SCIO CSD","2022-23",265,48,388039,8084.14583333333,9628271,9240232,34868.8
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2023-24",281,41,471097.66,11490.1868292683,10396110.11,9925012.45,35320.3290035587
"022401040000","SCIO CSD","2024-25",268,42,1936326.57,46103.0135714286,11169899.12,9233572.55,34453.6289179104
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2018-19",1183,157,7636684.84,48641.3047133758,22235046.51,14598361.67,12340.1197548605
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2019-20",1125,181,2193950.96,12121.2760220994,21744044.2,19550093.24,17377.8606577778
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2020-21",1109,178,2590375.69,14552.6724157303,22338168.14,19747792.45,17806.8462128043
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2021-22",1121,197,2346278,11910.0406091371,23184235,20837957,18588.721677074
"022601060000","WELLSVILLE CSD","2022-23",1129,208,2191036,10533.8269230769,24615038,22424002,19861.8263950399
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2023-24",1167,227,14218649.33,62637.2217180617,33212376.06,18993726.73,16275.6870008569
"022601060000","WELLSVILLE CSD","2024-25",1141,235,13779565.01,58636.4468510638,33883951.84,20104386.83,17619.9709290096
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2018-19",752,105,3146574,29967.3714285714,16587973,13441399,17874.2007978723
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2019-20",741,104,2892193,27809.5480769231,16050263,13158070,17757.1794871795
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2020-21",686,84,2164275,25765.1785714286,15939212,13774937,20080.083090379
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2021-22",699,93,1885524,20274.4516129032,15630070,13744546,19663.1559370529
"022902040000","BOLIVAR-RICHBURG CSD","2022-23",704,110,2301747.91,20924.981,16629764.55,14328016.64,20352.2963636364
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2023-24",670,108,1291833.24,11961.4188888889,21061059.33,19769226.09,29506.3075970149
"022902040000","BOLIVAR-RICHBURG CSD","2024-25",651,102,1351334,13248.3725490196,21715820.82,20364486.82,31281.8537941628
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2018-19",1453,173,2991918,17294.323699422,25778167,22786249,15682.2085340674
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2019-20",1403,162,2977466,18379.4197530864,25637639.27,22660173.27,16151.2282751247
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2020-21",1359,165,2864608,17361.2606060606,25348029.77,22483421.77,16544.0925459897
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2021-22",1317,174,2856228,16415.1034482759,27270244,24414016,18537.5975702354
"030101060000","CHENANGO FORKS CSD","2022-23",1343,180,2996888,16649.3777777778,27026296.03,24029408.03,17892.3365822785
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2023-24",1314,190,2942681.37,15487.7966842105,31726500.1,28783818.73,21905.4937062405
"030101060000","CHENANGO FORKS CSD","2024-25",1247,180,3302166.82,18345.3712222222,32009286.81,28707119.99,23020.9462630313
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2018-19",5366,932,13926644,14942.7510729614,104825151,90898507,16939.7143123369
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2019-20",5092,964,13704893,14216.6939834025,102438560.64,88733667.64,17426.0934092694
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2020-21",4818,860,13565224,15773.5162790698,99532675.89,85967451.89,17842.9746554587
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2021-22",4758,846,14535900,17181.914893617,112492772,97956872,20587.825136612
"030200010000","BINGHAMTON CITY SD","2022-23",4618,835,15975899,19132.8131736527,118835973.93,102860074.93,22273.7277890862
