"ENTITY_CD","ENTITY_NAME","YEAR","PK12_Enrollment","SWD_Enrollment","Special_Education_Expenditures","Special_Education_Expenditures_PerSWD","Total_Expenditures","General_Education_Expenditures","General_Education_Expenditures_PerPupil","Special_Education_Expenditures_PerPupil"
"022601060000","WELLSVILLE CSD",2021,1109,178,2590375.69,14552.6724157303,22338168.14,19747792.45,17806.8462128043,2335.77609558161
"022601060000","WELLSVILLE CSD",2022,1121,197,2346278,11910.0406091371,23184235,20837957,18588.721677074,2093.0223015165
"022601060000","WELLSVILLE CSD",2023,1129,208,2191036,10533.8269230769,24615038,22424002,19861.8263950399,1940.68733392383
"022601060000","WELLSVILLE CSD",2024,1167,227,14218649.33,62637.2217180617,33212376.06,18993726.73,16275.6870008569,12183.932587832
"022601060000","WELLSVILLE CSD",2025,1141,235,13779565.01,58636.4468510638,33883951.84,20104386.83,17619.9709290096,12076.744092901
"022902040000","BOLIVAR-RICHBURG CSD",2019,752,105,3146574,29967.3714285714,16587973,13441399,17874.2007978723,4184.27393617021
"022902040000","BOLIVAR-RICHBURG CSD",2020,741,104,2892193,27809.5480769231,16050263,13158070,17757.1794871795,3903.09446693657
"022902040000","BOLIVAR-RICHBURG CSD",2021,686,84,2164275,25765.1785714286,15939212,13774937,20080.083090379,3154.91982507289
"022902040000","BOLIVAR-RICHBURG CSD",2022,699,93,1885524,20274.4516129032,15630070,13744546,19663.1559370529,2697.45922746781
"022902040000","BOLIVAR-RICHBURG CSD",2023,704,110,2301747.91,20924.981,16629764.55,14328016.64,20352.2963636364,3269.52828125
"022902040000","BOLIVAR-RICHBURG CSD",2024,670,108,1291833.24,11961.4188888889,21061059.33,19769226.09,29506.3075970149,1928.10931343284
"022902040000","BOLIVAR-RICHBURG CSD",2025,651,102,1351334,13248.3725490196,21715820.82,20364486.82,31281.8537941628,2075.78187403994
"030101060000","CHENANGO FORKS CSD",2019,1453,173,2991918,17294.323699422,25778167,22786249,15682.2085340674,2059.13145216793
"030101060000","CHENANGO FORKS CSD",2020,1403,162,2977466,18379.4197530864,25637639.27,22660173.27,16151.2282751247,2122.21382751247
"030101060000","CHENANGO FORKS CSD",2021,1359,165,2864608,17361.2606060606,25348029.77,22483421.77,16544.0925459897,2107.87932303164
"030101060000","CHENANGO FORKS CSD",2022,1317,174,2856228,16415.1034482759,27270244,24414016,18537.5975702354,2168.73804100228
"030101060000","CHENANGO FORKS CSD",2023,1343,180,2996888,16649.3777777778,27026296.03,24029408.03,17892.3365822785,2231.48771407297
"030101060000","CHENANGO FORKS CSD",2024,1314,190,2942681.37,15487.7966842105,31726500.1,28783818.73,21905.4937062405,2239.48353881279
"030101060000","CHENANGO FORKS CSD",2025,1247,180,3302166.82,18345.3712222222,32009286.81,28707119.99,23020.9462630313,2648.08886928629
"030200010000","BINGHAMTON CITY SD",2019,5366,932,13926644,14942.7510729614,104825151,90898507,16939.7143123369,2595.34923592993
"030200010000","BINGHAMTON CITY SD",2020,5092,964,13704893,14216.6939834025,102438560.64,88733667.64,17426.0934092694,2691.45581304006
"030200010000","BINGHAMTON CITY SD",2021,4818,860,13565224,15773.5162790698,99532675.89,85967451.89,17842.9746554587,2815.5300954753
"030200010000","BINGHAMTON CITY SD",2022,4758,846,14535900,17181.914893617,112492772,97956872,20587.825136612,3055.04413619168
"030200010000","BINGHAMTON CITY SD",2023,4618,835,15975899,19132.8131736527,118835973.93,102860074.93,22273.7277890862,3459.48440883499
"030200010000","BINGHAMTON CITY SD",2024,4687,851,17493373.89,20556.256039953,133018210.68,115524836.79,24647.9276274803,3732.31787710689
"030200010000","BINGHAMTON CITY SD",2025,4523,860,17980525.89,20907.588244186,134886478.12,116905952.23,25846.9936391775,3975.35394428477
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI",2020,0,0,0,,3609,3609,,
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI",2021,0,0,0,,1,1,,
"030201080000","SOUTH MOUNTAIN-HICKORY COMN SD AT BI",2025,0,0,0,,328261,328261,,
"030501040000","HARPURSVILLE CSD",2019,711,118,1585661,13437.8050847458,13838069,12252408,17232.641350211,2230.18424753868
"030501040000","HARPURSVILLE CSD",2020,676,112,1575185,14064.1517857143,14334661.4,12759476.4,18874.9650887574,2330.15532544379
"030501040000","HARPURSVILLE CSD",2021,629,103,2149082,20864.8737864078,14595360.85,12446278.85,19787.4067567568,3416.66454689984
