"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"85",2023,"000003000000","ALL Broome Districts","ELA6","Not Economically Disadvantaged",749,46,6,703,"56","Spring","BROOME","COUNTY",397,306,53.0040053404539,40.8544726301736,6.1415220293725
"86",2023,"000003000000","ALL Broome Districts","ELA3","Not Economically Disadvantaged",879,56,6,823,"50","Spring","BROOME","COUNTY",412,411,46.8714448236633,46.7576791808874,6.37087599544937
"87",2023,"000003000000","ALL Broome Districts","ELA5","Not Economically Disadvantaged",860,58,7,802,"51","Spring","BROOME","COUNTY",411,391,47.7906976744186,45.4651162790698,6.74418604651163
"88",2023,"000003000000","ALL Broome Districts","ELA7","Students with Disabilities",385,99,26,286,NA,"Spring","BROOME","COUNTY",23,263,5.97402597402597,68.3116883116883,25.7142857142857
"89",2023,"000003000000","ALL Broome Districts","ELA8","Students with Disabilities",384,128,33,256,"10","Spring","BROOME","COUNTY",25,231,6.51041666666667,60.15625,33.3333333333333
"90",2023,"000003000000","ALL Broome Districts","ELA4","Students with Disabilities",337,65,19,272,"10","Spring","BROOME","COUNTY",28,244,8.30860534124629,72.4035608308605,19.2878338278932
"91",2023,"000003000000","ALL Broome Districts","ELA6","Students with Disabilities",386,86,22,300,NA,"Spring","BROOME","COUNTY",27,273,6.99481865284974,70.7253886010363,22.279792746114
"92",2023,"000003000000","ALL Broome Districts","ELA3","Students with Disabilities",351,81,23,270,NA,"Spring","BROOME","COUNTY",24,246,6.83760683760684,70.0854700854701,23.0769230769231
"93",2023,"000003000000","ALL Broome Districts","ELA5","Students with Disabilities",364,82,23,282,"5","Spring","BROOME","COUNTY",15,267,4.12087912087912,73.3516483516484,22.5274725274725
"94",2023,"000004000000","ALL Cattaraugus Districts","ELA7","All Students",895,132,15,763,"40","Spring","CATTARAUGUS","COUNTY",307,456,34.3016759776536,50.9497206703911,14.7486033519553
"95",2023,"000004000000","ALL Cattaraugus Districts","ELA8","All Students",957,175,18,782,"49","Spring","CATTARAUGUS","COUNTY",382,400,39.9164054336468,41.7972831765935,18.2863113897597
"96",2023,"000004000000","ALL Cattaraugus Districts","ELA4","All Students",877,58,7,819,"38","Spring","CATTARAUGUS","COUNTY",312,507,35.57582668187,57.8107183580388,6.61345496009122
"97",2023,"000004000000","ALL Cattaraugus Districts","ELA6","All Students",918,135,15,783,"42","Spring","CATTARAUGUS","COUNTY",327,456,35.6209150326797,49.6732026143791,14.7058823529412
"98",2023,"000004000000","ALL Cattaraugus Districts","ELA3_8","All Students",5403,629,12,4774,"40","Spring","CATTARAUGUS","COUNTY",1905,2869,35.2581898945031,53.1001295576532,11.6416805478438
"99",2023,"000004000000","ALL Cattaraugus Districts","ELA3","All Students",895,37,4,858,"37","Spring","CATTARAUGUS","COUNTY",318,540,35.5307262569832,60.3351955307263,4.1340782122905
"100",2023,"000004000000","ALL Cattaraugus Districts","ELA5","All Students",861,92,11,769,"34","Spring","CATTARAUGUS","COUNTY",259,510,30.0813008130081,59.2334494773519,10.68524970964
"101",2023,"000004000000","ALL Cattaraugus Districts","ELA7","Economically Disadvantaged",488,85,17,403,"34","Spring","CATTARAUGUS","COUNTY",139,264,28.4836065573771,54.0983606557377,17.4180327868852
"102",2023,"000004000000","ALL Cattaraugus Districts","ELA8","Economically Disadvantaged",521,108,21,413,"40","Spring","CATTARAUGUS","COUNTY",167,246,32.0537428023033,47.2168905950096,20.7293666026871
"103",2023,"000004000000","ALL Cattaraugus Districts","ELA4","Economically Disadvantaged",488,39,8,449,"26","Spring","CATTARAUGUS","COUNTY",118,331,24.1803278688525,67.827868852459,7.99180327868853
"104",2023,"000004000000","ALL Cattaraugus Districts","ELA6","Economically Disadvantaged",512,87,17,425,"32","Spring","CATTARAUGUS","COUNTY",136,289,26.5625,56.4453125,16.9921875
"105",2023,"000004000000","ALL Cattaraugus Districts","ELA3","Economically Disadvantaged",536,27,5,509,"31","Spring","CATTARAUGUS","COUNTY",158,351,29.4776119402985,65.4850746268657,5.03731343283582
"106",2023,"000004000000","ALL Cattaraugus Districts","ELA5","Economically Disadvantaged",524,54,10,470,"23","Spring","CATTARAUGUS","COUNTY",107,363,20.4198473282443,69.2748091603053,10.3053435114504
"107",2023,"000004000000","ALL Cattaraugus Districts","ELA7","General Education Students",719,81,11,638,"45","Spring","CATTARAUGUS","COUNTY",289,349,40.1947148817802,48.5396383866481,11.2656467315716
"108",2023,"000004000000","ALL Cattaraugus Districts","ELA8","General Education Students",796,121,15,675,"55","Spring","CATTARAUGUS","COUNTY",370,305,46.4824120603015,38.3165829145729,15.2010050251256
"109",2023,"000004000000","ALL Cattaraugus Districts","ELA4","General Education Students",686,28,4,658,"45","Spring","CATTARAUGUS","COUNTY",297,361,43.2944606413994,52.6239067055394,4.08163265306122
"110",2023,"000004000000","ALL Cattaraugus Districts","ELA6","General Education Students",731,85,12,646,"49","Spring","CATTARAUGUS","COUNTY",319,327,43.6388508891929,44.7332421340629,11.6279069767442
"111",2023,"000004000000","ALL Cattaraugus Districts","ELA3","General Education Students",697,17,2,680,"45","Spring","CATTARAUGUS","COUNTY",305,375,43.7589670014347,53.8020086083214,2.4390243902439
"112",2023,"000004000000","ALL Cattaraugus Districts","ELA5","General Education Students",690,60,9,630,"40","Spring","CATTARAUGUS","COUNTY",250,380,36.231884057971,55.0724637681159,8.69565217391304
"113",2023,"000004000000","ALL Cattaraugus Districts","ELA7","Not Economically Disadvantaged",407,47,12,360,"47","Spring","CATTARAUGUS","COUNTY",168,192,41.2776412776413,47.1744471744472,11.5479115479115
"114",2023,"000004000000","ALL Cattaraugus Districts","ELA8","Not Economically Disadvantaged",436,67,15,369,"58","Spring","CATTARAUGUS","COUNTY",215,154,49.3119266055046,35.3211009174312,15.3669724770642
"115",2023,"000004000000","ALL Cattaraugus Districts","ELA4","Not Economically Disadvantaged",389,19,5,370,"52","Spring","CATTARAUGUS","COUNTY",194,176,49.8714652956298,45.2442159383033,4.88431876606684
"116",2023,"000004000000","ALL Cattaraugus Districts","ELA6","Not Economically Disadvantaged",406,48,12,358,"53","Spring","CATTARAUGUS","COUNTY",191,167,47.0443349753695,41.1330049261084,11.8226600985222
