"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","LEVEL3_COUNT","LEVEL4_COUNT","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"1",2024,"000001000000","Albany County","ELA3_8","All Students",18352,2041,11,16311,4828,2698,"46","Spring",NA,"COUNTY",7526,8785,41.0091543156059,47.8694420226678,11.1214036617262
"2",2024,"000001000000","Albany County","ELA8","All Students",3041,536,18,2505,684,629,"52","Spring",NA,"COUNTY",1313,1192,43.1765866491286,39.197632357777,17.6257809930944
"3",2024,"000001000000","Albany County","ELA4","All Students",3066,257,8,2809,823,508,"47","Spring",NA,"COUNTY",1331,1478,43.4116112198304,48.2061317677756,8.382257012394
"4",2024,"000001000000","Albany County","ELA7","All Students",3091,387,13,2704,857,443,"48","Spring",NA,"COUNTY",1300,1404,42.0575865415723,45.4221934648981,12.5202199935296
"5",2024,"000001000000","Albany County","ELA6","All Students",3093,332,11,2761,743,396,"41","Spring",NA,"COUNTY",1139,1622,36.8250889104429,52.4409957969609,10.7339152925962
"6",2024,"000001000000","Albany County","ELA3","All Students",3066,250,8,2816,839,385,"43","Spring",NA,"COUNTY",1224,1592,39.9217221135029,51.9243313763862,8.15394651011089
"7",2024,"000001000000","Albany County","ELA5","All Students",2995,279,9,2716,882,337,"45","Spring",NA,"COUNTY",1219,1497,40.7011686143573,49.983305509182,9.31552587646077
"8",2024,"000001000000","Albany County","ELA8","Economically Disadvantaged",1458,291,20,1167,281,158,"38","Spring",NA,"COUNTY",439,728,30.1097393689986,49.9314128943759,19.9588477366255
"9",2024,"000001000000","Albany County","ELA4","Economically Disadvantaged",1482,158,11,1324,288,115,"30","Spring",NA,"COUNTY",403,921,27.1929824561404,62.1457489878543,10.6612685560054
"10",2024,"000001000000","Albany County","ELA7","Economically Disadvantaged",1454,193,13,1261,303,94,"31","Spring",NA,"COUNTY",397,864,27.3039889958735,59.4222833562586,13.273727647868
"11",2024,"000001000000","Albany County","ELA6","Economically Disadvantaged",1495,183,12,1312,241,75,"24","Spring",NA,"COUNTY",316,996,21.1371237458194,66.6220735785953,12.2408026755853
"12",2024,"000001000000","Albany County","ELA3","Economically Disadvantaged",1446,134,9,1312,284,85,"28","Spring",NA,"COUNTY",369,943,25.5186721991701,65.2143845089903,9.26694329183956
"13",2024,"000001000000","Albany County","ELA5","Economically Disadvantaged",1423,144,10,1279,302,70,"29","Spring",NA,"COUNTY",372,907,26.1419536191145,63.7385804638089,10.1194659170766
"14",2024,"000001000000","Albany County","ELA8","English Language Learner",166,61,37,105,5,0,"5","Spring",NA,"COUNTY",5,100,3.01204819277108,60.2409638554217,36.7469879518072
"15",2024,"000001000000","Albany County","ELA4","English Language Learner",275,64,23,211,25,2,"13","Spring",NA,"COUNTY",27,184,9.81818181818182,66.9090909090909,23.2727272727273
"16",2024,"000001000000","Albany County","ELA7","English Language Learner",196,60,31,136,6,0,"4","Spring",NA,"COUNTY",6,130,3.06122448979592,66.3265306122449,30.6122448979592
"17",2024,"000001000000","Albany County","ELA6","English Language Learner",233,61,26,172,8,0,"5","Spring",NA,"COUNTY",8,164,3.43347639484979,70.3862660944206,26.1802575107296
"18",2024,"000001000000","Albany County","ELA3","English Language Learner",306,82,27,224,21,3,"11","Spring",NA,"COUNTY",24,200,7.84313725490196,65.359477124183,26.797385620915
"19",2024,"000001000000","Albany County","ELA5","English Language Learner",235,66,28,169,13,1,NA,"Spring",NA,"COUNTY",14,155,5.95744680851064,65.9574468085106,28.0851063829787
"20",2024,"000001000000","Albany County","ELA8","General Education Students",2591,397,15,2194,655,621,"58","Spring",NA,"COUNTY",1276,918,49.2473948282516,35.430335777692,15.3222693940563
"21",2024,"000001000000","Albany County","ELA4","General Education Students",2607,155,6,2452,786,500,"52","Spring",NA,"COUNTY",1286,1166,49.3287303413886,44.7257383966245,5.94553126198696
"22",2024,"000001000000","Albany County","ELA7","General Education Students",2670,265,10,2405,828,438,"53","Spring",NA,"COUNTY",1266,1139,47.4157303370787,42.6591760299625,9.9250936329588
"23",2024,"000001000000","Albany County","ELA6","General Education Students",2594,213,8,2381,715,390,"46","Spring",NA,"COUNTY",1105,1276,42.5983037779491,49.1904394757132,8.2112567463377
"24",2024,"000001000000","Albany County","ELA3","General Education Students",2621,156,6,2465,795,376,"48","Spring",NA,"COUNTY",1171,1294,44.6776039679512,49.3704692865319,5.95192674551698
"25",2024,"000001000000","Albany County","ELA5","General Education Students",2527,163,6,2364,850,333,"50","Spring",NA,"COUNTY",1183,1181,46.814404432133,46.7352592006332,6.45033636723387
"26",2024,"000001000000","Albany County","ELA8","Non-English Language Learner",2875,475,17,2400,679,629,"55","Spring",NA,"COUNTY",1308,1092,45.495652173913,37.9826086956522,16.5217391304348
"27",2024,"000001000000","Albany County","ELA4","Non-English Language Learner",2791,193,7,2598,798,506,"50","Spring",NA,"COUNTY",1304,1294,46.7216051594411,46.3633106413472,6.91508419921175
"28",2024,"000001000000","Albany County","ELA7","Non-English Language Learner",2895,327,11,2568,851,443,"50","Spring",NA,"COUNTY",1294,1274,44.6977547495682,44.006908462867,11.2953367875648
"29",2024,"000001000000","Albany County","ELA6","Non-English Language Learner",2860,271,9,2589,735,396,"44","Spring",NA,"COUNTY",1131,1458,39.5454545454545,50.979020979021,9.47552447552447
"30",2024,"000001000000","Albany County","ELA3","Non-English Language Learner",2760,168,6,2592,818,382,"46","Spring",NA,"COUNTY",1200,1392,43.4782608695652,50.4347826086956,6.08695652173913
"31",2024,"000001000000","Albany County","ELA5","Non-English Language Learner",2760,213,8,2547,869,336,"47","Spring",NA,"COUNTY",1205,1342,43.6594202898551,48.6231884057971,7.71739130434783
"32",2024,"000001000000","Albany County","ELA8","Not Economically Disadvantaged",1583,245,15,1338,403,471,"65","Spring",NA,"COUNTY",874,464,55.2116234996842,29.3114339861023,15.4769425142135
"33",2024,"000001000000","Albany County","ELA4","Not Economically Disadvantaged",1584,99,6,1485,535,393,"62","Spring",NA,"COUNTY",928,557,58.5858585858586,35.1641414141414,6.25
"34",2024,"000001000000","Albany County","ELA7","Not Economically Disadvantaged",1637,194,12,1443,554,349,"63","Spring",NA,"COUNTY",903,540,55.1618814905315,32.9871716554673,11.8509468540012
"35",2024,"000001000000","Albany County","ELA6","Not Economically Disadvantaged",1598,149,9,1449,502,321,"57","Spring",NA,"COUNTY",823,626,51.5018773466834,39.1739674593242,9.32415519399249
"36",2024,"000001000000","Albany County","ELA3","Not Economically Disadvantaged",1620,116,7,1504,555,300,"57","Spring",NA,"COUNTY",855,649,52.7777777777778,40.0617283950617,7.16049382716049
"37",2024,"000001000000","Albany County","ELA5","Not Economically Disadvantaged",1572,135,9,1437,580,267,"59","Spring",NA,"COUNTY",847,590,53.8804071246819,37.5318066157761,8.58778625954199
"38",2024,"000001000000","Albany County","ELA8","Students with Disabilities",450,139,31,311,29,8,"12","Spring",NA,"COUNTY",37,274,8.22222222222222,60.8888888888889,30.8888888888889
"39",2024,"000001000000","Albany County","ELA4","Students with Disabilities",459,102,22,357,37,8,"13","Spring",NA,"COUNTY",45,312,9.80392156862745,67.9738562091503,22.2222222222222
